target,classification,category,owner,kinds,classification_reasons,related_vstd_contract_count,returns_reference,returns_mutable_reference,has_mutable_output_state,has_closure,has_unsafe,has_raw_pointer
alloc::collections::btree_map::Entry::and_modify,higher_order_contract,data_structure,alloc::collections::btree_map::Entry,inherent_method,closure_call_ensures_or_prophetic_model_required,0,False,False,False,True,False,False
alloc::collections::btree_map::Entry::insert_entry,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::Entry,inherent_method,no_existing_contract_for_owner_or_module,0,False,False,False,False,False,False
alloc::collections::btree_map::Entry::key,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::Entry,inherent_method,no_existing_contract_for_owner_or_module,0,True,False,False,False,False,False
alloc::collections::btree_map::Entry::or_default,determinism_checker_unsupported,data_structure,alloc::collections::btree_map::Entry,inherent_method,mutable_reference_return_not_supported,0,True,True,False,False,False,False
alloc::collections::btree_map::Entry::or_insert,determinism_checker_unsupported,data_structure,alloc::collections::btree_map::Entry,inherent_method,mutable_reference_return_not_supported,0,True,True,False,False,False,False
alloc::collections::btree_map::Entry::or_insert_with,determinism_checker_unsupported,data_structure,alloc::collections::btree_map::Entry,inherent_method,mutable_reference_return_not_supported,0,True,True,False,True,False,False
alloc::collections::btree_map::Entry::or_insert_with_key,determinism_checker_unsupported,data_structure,alloc::collections::btree_map::Entry,inherent_method,mutable_reference_return_not_supported,0,True,True,False,True,False,False
alloc::collections::btree_map::OccupiedEntry::get,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::OccupiedEntry,inherent_method,no_existing_contract_for_owner_or_module,0,True,False,False,False,False,False
alloc::collections::btree_map::OccupiedEntry::get_mut,determinism_checker_unsupported,data_structure,alloc::collections::btree_map::OccupiedEntry,inherent_method,mutable_reference_return_not_supported,0,True,True,True,False,False,False
alloc::collections::btree_map::OccupiedEntry::insert,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::OccupiedEntry,inherent_method,no_existing_contract_for_owner_or_module,0,False,False,True,False,False,False
alloc::collections::btree_map::OccupiedEntry::into_mut,determinism_checker_unsupported,data_structure,alloc::collections::btree_map::OccupiedEntry,inherent_method,mutable_reference_return_not_supported,0,True,True,False,False,False,False
alloc::collections::btree_map::OccupiedEntry::key,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::OccupiedEntry,inherent_method,no_existing_contract_for_owner_or_module,0,True,False,False,False,False,False
alloc::collections::btree_map::OccupiedEntry::remove,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::OccupiedEntry,inherent_method,no_existing_contract_for_owner_or_module,0,False,False,False,False,False,False
alloc::collections::btree_map::OccupiedEntry::remove_entry,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::OccupiedEntry,inherent_method,no_existing_contract_for_owner_or_module,0,False,False,False,False,False,False
alloc::collections::btree_map::VacantEntry::insert,determinism_checker_unsupported,data_structure,alloc::collections::btree_map::VacantEntry,inherent_method,mutable_reference_return_not_supported,0,True,True,False,False,False,False
alloc::collections::btree_map::VacantEntry::insert_entry,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::VacantEntry,inherent_method,no_existing_contract_for_owner_or_module,0,False,False,False,False,False,False
alloc::collections::btree_map::VacantEntry::into_key,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::VacantEntry,inherent_method,no_existing_contract_for_owner_or_module,0,False,False,False,False,False,False
alloc::collections::btree_map::VacantEntry::key,needs_new_vstd_abstraction,data_structure,alloc::collections::btree_map::VacantEntry,inherent_method,no_existing_contract_for_owner_or_module,0,True,False,False,False,False,False
